#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	broflows
#open	2017-09-10-13-08-27
#fields	orig1	po1	dest1	pd1	uid1	informacion	orig2	po2	dest2	pd2	uid2
#types	addr	port	addr	port	string	string	addr	port	addr	port	string
192.168.202.110	4762	192.168.22.25	11782	CMTFTu2WsjGpvHkQNe	 emparejado con 	192.168.202.110	4762	192.168.22.25	49157	CMt7IM3TF70qyPc1Ib
192.168.202.110	58819	192.168.22.25	10595	CuBMzA344B0k6Qyvli	 emparejado con 	192.168.202.110	58819	192.168.22.25	49154	CPkIEw2hRLBPGjhsxc
192.168.202.110	21191	192.168.22.101	4942	CS6wRn26CTlNt1Fi8i	 emparejado con 	192.168.202.110	21191	192.168.22.101	22	Ct066i2D7TrBOCBFli
192.168.202.108	62361	192.168.26.203	443	Ce167d4AOgBdToLRt4	 emparejado con 	192.168.202.108	62361	192.168.21.152	445	ClOgmr34chP55YSFy5
192.168.202.108	62361	192.168.26.203	443	Ce167d4AOgBdToLRt4	 emparejado con 	192.168.202.108	62361	192.168.22.102	445	CEWggb4TvnHe5LhH9l
192.168.202.108	62361	192.168.26.203	443	Ce167d4AOgBdToLRt4	 emparejado con 	192.168.202.108	62361	192.168.22.152	445	CstqxM2FrmlziXIZCc
192.168.202.108	62361	192.168.28.1	443	C98isE12hXh8k5eQT6	 emparejado con 	192.168.202.108	62361	192.168.24.100	445	CZDGWc1WCt4zUzwfdd
192.168.202.108	62361	192.168.28.1	443	C98isE12hXh8k5eQT6	 emparejado con 	192.168.202.108	62361	192.168.23.100	445	C8BeEggQNQeP4n8Ii
192.168.202.108	62361	192.168.28.1	443	C98isE12hXh8k5eQT6	 emparejado con 	192.168.202.108	62361	192.168.21.100	445	CvCEDK1c9dsIRJK0wj
192.168.202.108	62361	192.168.28.1	443	C98isE12hXh8k5eQT6	 emparejado con 	192.168.202.108	62361	192.168.21.102	445	CbL4cu3D5ltSkq1Xvi
192.168.202.108	62361	192.168.28.1	443	C98isE12hXh8k5eQT6	 emparejado con 	192.168.202.108	62361	192.168.21.103	445	CEasau1qY4VimI2hih
192.168.202.108	62361	192.168.28.1	443	C98isE12hXh8k5eQT6	 emparejado con 	192.168.202.108	62361	192.168.24.202	445	CsNBhr1WYQMVltYjbj
192.168.202.108	62361	192.168.28.1	443	C98isE12hXh8k5eQT6	 emparejado con 	192.168.202.108	62361	192.168.21.202	445	CDG2lf8N7hyzopnHf
192.168.202.108	62361	192.168.22.1	443	Cu77Uw2Lye5nhRQOB3	 emparejado con 	192.168.202.108	62361	192.168.22.100	445	CbzPz43PPR5BNQvQAk
192.168.202.108	62361	192.168.22.1	443	Cu77Uw2Lye5nhRQOB3	 emparejado con 	192.168.202.108	62361	192.168.25.102	445	Crzae02ExNRBexyj7g
192.168.202.108	62361	192.168.22.1	443	Cu77Uw2Lye5nhRQOB3	 emparejado con 	192.168.202.108	62361	192.168.27.25	445	CfQ5573Wg8UhLH0kt1
192.168.202.108	62361	192.168.22.1	443	Cu77Uw2Lye5nhRQOB3	 emparejado con 	192.168.202.108	62361	192.168.27.100	445	CWbOfu4Zr1QhJEgmve
192.168.202.108	62361	192.168.22.1	443	Cu77Uw2Lye5nhRQOB3	 emparejado con 	192.168.202.108	62361	192.168.26.25	445	CuDOkR24ywuhF9qudf
192.168.202.108	62361	192.168.22.1	443	Cu77Uw2Lye5nhRQOB3	 emparejado con 	192.168.202.108	62361	192.168.26.102	445	CjauQD4zaPZCKXtVc
192.168.229.156	5060	192.168.202.57	5060	CJZ9z616kUgapHC7Mf	 emparejado con 	192.168.229.156	5060	192.168.202.57	5060	CckVuC107B5Rt4hLIf
192.168.229.156	5060	192.168.202.57	5060	CJZ9z616kUgapHC7Mf	 emparejado con 	192.168.229.156	5060	192.168.202.57	5060	CckVuC107B5Rt4hLIf
192.168.202.110	31221	192.168.22.101	25059	CnKVVY3ASVL0pkMCk	 emparejado con 	192.168.202.110	31221	192.168.22.101	21	Chq7Z51rvhfeHxcbnj
192.168.202.110	55126	192.168.229.224	443	CUw8VS3LpDxom7Kmn7	 emparejado con 	192.168.202.110	55126	192.168.229.153	445	C9qkeo2COOZJ8kP9d5
192.168.202.110	55126	192.168.229.224	443	CUw8VS3LpDxom7Kmn7	 emparejado con 	192.168.202.110	55126	192.168.229.252	445	CtSGxM31RltSY3qXj4
192.168.202.110	55126	192.168.229.224	443	CUw8VS3LpDxom7Kmn7	 emparejado con 	192.168.202.110	55126	192.168.229.251	445	CUTxbDY30tAU8b1ve
192.168.202.110	60961	192.168.22.25	11508	Ca9mUb43fsO1BAvt46	 emparejado con 	192.168.202.110	60961	192.168.22.25	49158	CsWoDz4QAAq3MYL2b5
192.168.202.76	21371	157.56.52.12	40007	CDMIKi1YJV5zoLcr7g	 emparejado con 	192.168.202.76	21371	65.55.223.20	40009	CFxbjh1kFpZAvPe7W
192.168.202.76	21371	157.56.52.12	40007	CDMIKi1YJV5zoLcr7g	 emparejado con 	192.168.202.76	21371	157.56.52.25	40009	CnPthl1NFYQHHyJIE4
192.168.202.76	21371	157.56.52.12	40007	CDMIKi1YJV5zoLcr7g	 emparejado con 	192.168.202.76	21371	157.55.235.153	40009	CII7bn1cXxPt9GX83b
192.168.202.110	59202	192.168.22.25	48009	CuDTi8vuqKjiosaVh	 emparejado con 	192.168.202.110	59202	192.168.22.25	636	CS9yKI1gjib5TStDFk
192.168.202.110	18834	192.168.22.101	7596	CcDQfz301IFqN0fwY3	 emparejado con 	192.168.202.110	18834	192.168.22.101	21	Cl81Wy1Qbp5MSWzMyg
192.168.202.110	57147	192.168.22.25	49628	CH0Ejq3vzQCA4cgmCi	 emparejado con 	192.168.202.110	57147	192.168.22.25	445	CY9Bcu4ZsvmO5O1tC7
192.168.202.108	62361	192.168.26.152	10000	CzBmJh4Keov3VBkkQd	 emparejado con 	192.168.202.108	62361	192.168.26.152	49155	CrTwkIGN77T3kld69
192.168.202.76	21371	157.56.52.12	40007	CDMIKi1YJV5zoLcr7g	 emparejado con 	192.168.202.76	21371	111.221.74.25	40009	C5ToDt3iVe2hek6ggi
